Year, DayOfYear, WeekOfYear, DateTime, Calories
2023,61,9,2023-03-02T00:00,870.97
2023,60,9,2023-03-01T00:00,1639.751
2023,59,9,2023-02-28T00:00,1643.311
2023,58,9,2023-02-27T00:00,1635.191
2023,57,9,2023-02-26T00:00,1635.191
2023,56,8,2023-02-25T00:00,1642.661
2023,55,8,2023-02-24T00:00,1641.281
2023,54,8,2023-02-23T00:00,1646.631
2023,53,8,2023-02-22T00:00,1649.151
2023,52,8,2023-02-21T00:00,1649.151
2023,51,8,2023-02-20T00:00,1632.391
2023,50,8,2023-02-19T00:00,1640.651
2023,49,7,2023-02-18T00:00,1639.351
2023,48,7,2023-02-17T00:00,1640.281
2023,47,7,2023-02-16T00:00,1640.281
2023,46,7,2023-02-15T00:00,1644.471
2023,45,7,2023-02-14T00:00,1646.881
2023,44,7,2023-02-13T00:00,1649.101
2023,43,7,2023-02-12T00:00,1651.661
2023,42,6,2023-02-11T00:00,1649.721
2023,41,6,2023-02-10T00:00,1649.721
2023,40,6,2023-02-09T00:00,1660.211
2023,39,6,2023-02-08T00:00,1666.661
2023,38,6,2023-02-07T00:00,1666.661
2023,37,6,2023-02-06T00:00,1666.661
2023,36,6,2023-02-05T00:00,1666.661
2023,35,5,2023-02-04T00:00,1666.661
2023,34,5,2023-02-03T00:00,1666.661
2023,33,5,2023-02-02T00:00,1652.451
2023,32,5,2023-02-01T00:00,1652.451
2023,31,5,2023-01-31T00:00,1652.451
2022,332,48,2022-11-28T00:00,606.249
2022,331,48,2022-11-27T00:00,1611.13
2022,330,48,2022-11-26T00:00,1638.931
2022,329,47,2022-11-25T00:00,1638.931
2022,328,47,2022-11-24T00:00,1638.931
2022,327,47,2022-11-23T00:00,1638.931
2022,326,47,2022-11-22T00:00,1638.931
2022,325,47,2022-11-21T00:00,1638.931
2022,324,47,2022-11-20T00:00,1638.931
2022,323,47,2022-11-19T00:00,1638.931
2022,322,46,2022-11-18T00:00,1638.931
2022,321,46,2022-11-17T00:00,1638.931
2022,320,46,2022-11-16T00:00,1638.931
2022,319,46,2022-11-15T00:00,1638.931
2022,318,46,2022-11-14T00:00,1638.931
2022,317,46,2022-11-13T00:00,1638.931
2022,316,46,2022-11-12T00:00,1638.931
2022,315,45,2022-11-11T00:00,1638.931
2022,314,45,2022-11-10T00:00,1638.931
2022,313,45,2022-11-09T00:00,1638.931
2022,312,45,2022-11-08T00:00,1638.931
2022,311,45,2022-11-07T00:00,1638.931
2022,310,45,2022-11-06T00:00,1638.931
2022,309,45,2022-11-05T00:00,1638.931
2022,308,44,2022-11-04T00:00,1638.931
2022,307,44,2022-11-03T00:00,1638.931
2022,306,44,2022-11-02T00:00,1638.931
2022,305,44,2022-11-01T00:00,1566.636
2022,304,44,2022-10-31T00:00,1636.881
2022,303,44,2022-10-30T00:00,1637.301
2022,302,44,2022-10-29T00:00,1640.011
2022,301,43,2022-10-28T00:00,1641.691
2022,300,43,2022-10-27T00:00,1273.185
2022,299,43,2022-10-26T00:00,1273.185
2022,298,43,2022-10-25T00:00,1273.185
2022,297,43,2022-10-24T00:00,1273.185
2022,296,43,2022-10-23T00:00,1273.185
2022,295,43,2022-10-22T00:00,1273.185
2022,294,42,2022-10-21T00:00,1273.185
2022,293,42,2022-10-20T00:00,1273.185
2022,292,42,2022-10-19T00:00,1273.185
2022,291,42,2022-10-18T00:00,1273.185
2022,290,42,2022-10-17T00:00,1273.185
2022,289,42,2022-10-16T00:00,1273.185
2022,288,42,2022-10-15T00:00,1273.185
2022,287,41,2022-10-14T00:00,1273.185
2022,286,41,2022-10-13T00:00,1273.185
2022,285,41,2022-10-12T00:00,1648.211
2022,284,41,2022-10-11T00:00,1648.211
2022,283,41,2022-10-10T00:00,1648.211
2022,282,41,2022-10-09T00:00,1639.081
2022,268,39,2022-09-25T00:00,915.512
2022,267,39,2022-09-24T00:00,1668.601
2022,266,38,2022-09-23T00:00,1668.601
2022,265,38,2022-09-22T00:00,1668.601
2022,264,38,2022-09-21T00:00,1668.601
2022,263,38,2022-09-20T00:00,1680.891
2022,262,38,2022-09-19T00:00,1649.611
2022,261,38,2022-09-18T00:00,1649.611
2022,260,38,2022-09-17T00:00,1649.611
2022,259,37,2022-09-16T00:00,1659.571
2022,258,37,2022-09-15T00:00,1650.421
2022,257,37,2022-09-14T00:00,1651.881
2022,256,37,2022-09-13T00:00,1654.191
2022,255,37,2022-09-12T00:00,1660.521
2022,254,37,2022-09-11T00:00,1655.431
2022,253,37,2022-09-10T00:00,1662.021
2022,252,36,2022-09-09T00:00,1655.501
2022,251,36,2022-09-08T00:00,1655.501
2022,250,36,2022-09-07T00:00,1652.101
2022,249,36,2022-09-06T00:00,1651.211
2022,248,36,2022-09-05T00:00,1646.421
2022,247,36,2022-09-04T00:00,1646.421
2022,246,36,2022-09-03T00:00,1659.091
2022,245,35,2022-09-02T00:00,1656.841
2022,244,35,2022-09-01T00:00,1660.591
2022,243,35,2022-08-31T00:00,1665.531
2022,242,35,2022-08-30T00:00,1668.431
2022,241,35,2022-08-29T00:00,1674.531
2022,240,35,2022-08-28T00:00,1635.621
2022,239,35,2022-08-27T00:00,1635.621
2022,238,34,2022-08-26T00:00,1635.621
2022,237,34,2022-08-25T00:00,1431.166
2022,236,34,2022-08-24T00:00,1635.621
2022,235,34,2022-08-23T00:00,1635.621
2022,234,34,2022-08-22T00:00,1635.621
2022,233,34,2022-08-21T00:00,1635.621
2022,232,34,2022-08-20T00:00,1647.981
2022,231,33,2022-08-19T00:00,1648.501
2022,230,33,2022-08-18T00:00,1654.821
2022,229,33,2022-08-17T00:00,1863.476
2022,228,33,2022-08-16T00:00,1653.821
2022,227,33,2022-08-15T00:00,1644.031
2022,226,33,2022-08-14T00:00,1644.031
2022,225,33,2022-08-13T00:00,1647.481
2022,224,32,2022-08-12T00:00,1647.481
2022,223,32,2022-08-11T00:00,1653.311
2022,222,32,2022-08-10T00:00,1639.361
2022,221,32,2022-08-09T00:00,1639.361
2022,220,32,2022-08-08T00:00,1639.361
2022,219,32,2022-08-07T00:00,1639.361
2022,218,32,2022-08-06T00:00,1647.181
2022,217,31,2022-08-05T00:00,1648.801
2022,216,31,2022-08-04T00:00,1647.081
2022,215,31,2022-08-03T00:00,1656.861
2022,214,31,2022-08-02T00:00,1655.571
2022,213,31,2022-08-01T00:00,1655.571
2022,212,31,2022-07-31T00:00,1644.621
2022,211,31,2022-07-30T00:00,1644.621
2022,210,30,2022-07-29T00:00,1653.261
2022,209,30,2022-07-28T00:00,1649.031
2022,208,30,2022-07-27T00:00,1649.031
2022,207,30,2022-07-26T00:00,1649.031
2022,206,30,2022-07-25T00:00,1649.031
2022,205,30,2022-07-24T00:00,1649.031
2022,204,30,2022-07-23T00:00,1652.551
2022,203,29,2022-07-22T00:00,1654.411
2022,202,29,2022-07-21T00:00,1646.561
2022,201,29,2022-07-20T00:00,1646.561
2022,200,29,2022-07-19T00:00,1646.561
2022,199,29,2022-07-18T00:00,1646.561
2022,198,29,2022-07-17T00:00,1646.561
2022,197,29,2022-07-16T00:00,1646.561
2022,196,28,2022-07-15T00:00,1646.561
2022,195,28,2022-07-14T00:00,1639.411
2022,194,28,2022-07-13T00:00,1638.051
2022,193,28,2022-07-12T00:00,1635.851
2022,192,28,2022-07-11T00:00,1635.051
2022,191,28,2022-07-10T00:00,1643.541
2022,190,28,2022-07-09T00:00,1644.371
2022,189,27,2022-07-08T00:00,1640.651
2022,188,27,2022-07-07T00:00,1637.001
2022,187,27,2022-07-06T00:00,1643.061
2022,186,27,2022-07-05T00:00,1637.391
2022,185,27,2022-07-04T00:00,1635.981
2022,184,27,2022-07-03T00:00,1640.971
2022,183,27,2022-07-02T00:00,1650.171
2022,182,26,2022-07-01T00:00,1641.031
2022,181,26,2022-06-30T00:00,1646.731
2022,180,26,2022-06-29T00:00,1649.691
2022,179,26,2022-06-28T00:00,1649.691
2022,178,26,2022-06-27T00:00,1652.491
2022,177,26,2022-06-26T00:00,1657.521
2022,176,26,2022-06-25T00:00,1651.081
2022,175,25,2022-06-24T00:00,1651.081
2022,174,25,2022-06-23T00:00,1651.081
2022,171,25,2022-06-20T00:00,750.262
2022,170,25,2022-06-19T00:00,1651.081
2022,169,25,2022-06-18T00:00,1651.081
2022,168,24,2022-06-17T00:00,1651.081
2022,167,24,2022-06-16T00:00,1655.691
2022,166,24,2022-06-15T00:00,1650.361
2022,165,24,2022-06-14T00:00,1660.931
2022,164,24,2022-06-13T00:00,1635.951
2022,163,24,2022-06-12T00:00,1635.951
2022,162,24,2022-06-11T00:00,1635.951
2022,161,23,2022-06-10T00:00,1639.531
2022,160,23,2022-06-09T00:00,1641.531
2022,159,23,2022-06-08T00:00,1641.531
2022,158,23,2022-06-07T00:00,1641.531
2022,157,23,2022-06-06T00:00,1641.531
2022,156,23,2022-06-05T00:00,1641.531
2022,155,23,2022-06-04T00:00,1641.531
2022,154,22,2022-06-03T00:00,1641.531
2022,153,22,2022-06-02T00:00,1641.531
2022,152,22,2022-06-01T00:00,1641.531
2022,151,22,2022-05-31T00:00,1641.531
2022,150,22,2022-05-30T00:00,1641.531
2022,149,22,2022-05-29T00:00,1641.531
2022,148,22,2022-05-28T00:00,1641.531
2022,147,21,2022-05-27T00:00,1641.531
2022,146,21,2022-05-26T00:00,1641.531
2022,145,21,2022-05-25T00:00,1641.531
2022,144,21,2022-05-24T00:00,1641.531
2022,143,21,2022-05-23T00:00,1641.531
2022,142,21,2022-05-22T00:00,1641.531
2022,141,21,2022-05-21T00:00,1641.531
2022,130,19,2022-05-10T00:00,48.326
2022,129,19,2022-05-09T00:00,1632.221
2022,128,19,2022-05-08T00:00,1637.011
2022,127,19,2022-05-07T00:00,1634.751
2022,126,18,2022-05-06T00:00,1642.241
2022,125,18,2022-05-05T00:00,1644.141
2022,124,18,2022-05-04T00:00,1641.831
2022,123,18,2022-05-03T00:00,1641.831
2022,122,18,2022-05-02T00:00,1641.831
2022,121,18,2022-05-01T00:00,1634.561
2022,120,18,2022-04-30T00:00,1644.271
2022,119,17,2022-04-29T00:00,1641.411
2022,118,17,2022-04-28T00:00,1651.821
2022,117,17,2022-04-27T00:00,1645.241
2022,116,17,2022-04-26T00:00,1649.511
2022,115,17,2022-04-25T00:00,1638.461
2022,114,17,2022-04-24T00:00,1636.611
2022,113,17,2022-04-23T00:00,1643.091
2022,112,16,2022-04-22T00:00,1650.111
2022,111,16,2022-04-21T00:00,1659.501
2022,110,16,2022-04-20T00:00,1650.881
2022,109,16,2022-04-19T00:00,1655.751
2022,108,16,2022-04-18T00:00,1634.921
2022,107,16,2022-04-17T00:00,1634.921
2022,106,16,2022-04-16T00:00,1646.051
2022,105,15,2022-04-15T00:00,1639.331
2022,104,15,2022-04-14T00:00,1648.811
2022,103,15,2022-04-13T00:00,1643.971
2022,102,15,2022-04-12T00:00,1644.061
2022,101,15,2022-04-11T00:00,1642.521
2022,100,15,2022-04-10T00:00,1640.611
2022,99,15,2022-04-09T00:00,1650.751
2022,98,14,2022-04-08T00:00,1651.181
2022,97,14,2022-04-07T00:00,1652.521
2022,96,14,2022-04-06T00:00,1652.771
2022,95,14,2022-04-05T00:00,1630.561
2022,94,14,2022-04-04T00:00,1630.561
2022,93,14,2022-04-03T00:00,1630.561
2022,85,13,2022-03-26T00:00,1310.194
2022,84,12,2022-03-25T00:00,1630.561
2022,83,12,2022-03-24T00:00,1630.561
2022,82,12,2022-03-23T00:00,1630.561
2022,81,12,2022-03-22T00:00,1630.561
2022,80,12,2022-03-21T00:00,1630.561
2022,79,12,2022-03-20T00:00,1565.907
2022,78,12,2022-03-19T00:00,1639.651
2022,77,11,2022-03-18T00:00,1645.291
2022,76,11,2022-03-17T00:00,1638.331
2022,75,11,2022-03-16T00:00,1638.581
