Year, DayOfYear, WeekOfYear, DateTime, Distance
2023,61,9,2023-03-02T00:00,10246.947
2023,60,9,2023-03-01T00:00,10393.589
2023,59,9,2023-02-28T00:00,10305.549
2023,58,9,2023-02-27T00:00,11899.389
2023,57,9,2023-02-26T00:00,10283.79
2023,56,8,2023-02-25T00:00,11736.153
2023,55,8,2023-02-24T00:00,11905.426
2023,54,8,2023-02-23T00:00,12820.134
2023,53,8,2023-02-22T00:00,12689.695
2023,52,8,2023-02-21T00:00,9608.019
2023,51,8,2023-02-20T00:00,10972.053
2023,50,8,2023-02-19T00:00,10849.429
2023,49,7,2023-02-18T00:00,10739.3
2023,48,7,2023-02-17T00:00,9424.936
2023,47,7,2023-02-16T00:00,9004.396
2023,46,7,2023-02-15T00:00,9664.994
2023,45,7,2023-02-14T00:00,12274.36
2023,44,7,2023-02-13T00:00,11426.233
2023,43,7,2023-02-12T00:00,11391.806
2023,42,6,2023-02-11T00:00,11978.33
2023,41,6,2023-02-10T00:00,11256.31
2023,40,6,2023-02-09T00:00,10879.028
2023,39,6,2023-02-08T00:00,13128.858
2023,38,6,2023-02-07T00:00,9284.547
2023,37,6,2023-02-06T00:00,12571.041
2023,36,6,2023-02-05T00:00,10982.849
2023,35,5,2023-02-04T00:00,1615.396
2023,34,5,2023-02-03T00:00,0
2023,33,5,2023-02-02T00:00,0
2023,32,5,2023-02-01T00:00,0
2023,31,5,2023-01-31T00:00,0
2022,332,48,2022-11-28T00:00,1114.594
2022,331,48,2022-11-27T00:00,9418.195
2022,330,48,2022-11-26T00:00,8880.354
2022,329,47,2022-11-25T00:00,8587.226
2022,328,47,2022-11-24T00:00,12875.447
2022,327,47,2022-11-23T00:00,10649.834
2022,326,47,2022-11-22T00:00,14026.333
2022,325,47,2022-11-21T00:00,10561.35
2022,324,47,2022-11-20T00:00,13848.785
2022,323,47,2022-11-19T00:00,13627.725
2022,322,46,2022-11-18T00:00,11047.893
2022,321,46,2022-11-17T00:00,16026.064
2022,320,46,2022-11-16T00:00,16068.979
2022,319,46,2022-11-15T00:00,14193.507
2022,318,46,2022-11-14T00:00,12052.598
2022,317,46,2022-11-13T00:00,13226.302
2022,316,46,2022-11-12T00:00,14793.214
2022,315,45,2022-11-11T00:00,12471.853
2022,314,45,2022-11-10T00:00,11688.271
2022,313,45,2022-11-09T00:00,11330.536
2022,312,45,2022-11-08T00:00,12372.309
2022,311,45,2022-11-07T00:00,9908.638
2022,310,45,2022-11-06T00:00,10803.334
2022,309,45,2022-11-05T00:00,12558.243
2022,308,44,2022-11-04T00:00,11468.372
2022,307,44,2022-11-03T00:00,14515.345
2022,306,44,2022-11-02T00:00,1166.117
2022,305,44,2022-11-01T00:00,9314.746
2022,304,44,2022-10-31T00:00,10004.763
2022,303,44,2022-10-30T00:00,17244.412
2022,302,44,2022-10-29T00:00,14925.274
2022,301,43,2022-10-28T00:00,10027.703
2022,300,43,2022-10-27T00:00,11947.09
2022,299,43,2022-10-26T00:00,8504.472
2022,298,43,2022-10-25T00:00,9278.854
2022,297,43,2022-10-24T00:00,10547.528
2022,296,43,2022-10-23T00:00,11702.729
2022,295,43,2022-10-22T00:00,13551.067
2022,294,42,2022-10-21T00:00,11046.516
2022,293,42,2022-10-20T00:00,8363.77
2022,292,42,2022-10-19T00:00,9201.751
2022,291,42,2022-10-18T00:00,9148.629
2022,290,42,2022-10-17T00:00,10547.552
2022,289,42,2022-10-16T00:00,12275.94
2022,288,42,2022-10-15T00:00,11792.81
2022,287,41,2022-10-14T00:00,13517.723
2022,286,41,2022-10-13T00:00,432.22
2022,285,41,2022-10-12T00:00,0
2022,284,41,2022-10-11T00:00,0
2022,283,41,2022-10-10T00:00,0
2022,282,41,2022-10-09T00:00,0
2022,268,39,2022-09-25T00:00,9335.269
2022,267,39,2022-09-24T00:00,19018.594
2022,266,38,2022-09-23T00:00,11005.959
2022,265,38,2022-09-22T00:00,13031.859
2022,264,38,2022-09-21T00:00,9060.67
2022,263,38,2022-09-20T00:00,11979.646
2022,262,38,2022-09-19T00:00,11679.945
2022,261,38,2022-09-18T00:00,13117.659
2022,260,38,2022-09-17T00:00,16280.958
2022,259,37,2022-09-16T00:00,14927.287
