Year, DayOfYear, WeekOfYear, DateTime, distanceMeters, totalTimeSeconds
2018,234,34,2018-08-22T05:37,6560,2425
2022,21,3,2022-01-21T10:35,7227,2649
2021,49,7,2021-02-18T07:40,1611,574
2022,86,13,2022-03-27T17:58,5260,2700
2023,28,4,2023-01-28T18:37,2715,1098
2018,76,11,2018-03-17T19:03,6490,2417
2022,239,35,2022-08-27T08:45,5291,2261
2022,341,49,2022-12-07T07:55,8067,2979
2018,103,15,2018-04-13T18:06,4904,1932
2021,145,21,2021-05-25T16:57,1611,730
2022,236,34,2022-08-24T11:01,2830,1032
2022,39,6,2022-02-08T10:26,6803,2838
2020,46,7,2020-02-15T06:34,6666,2490
2022,338,49,2022-12-04T08:41,8062,2959
2022,329,47,2022-11-25T07:58,2703,1449
2021,123,18,2021-05-03T07:37,1611,598
2021,248,36,2021-09-05T13:31,4863,1801
2021,21,3,2021-01-21T17:36,1625,605
2022,254,37,2022-09-11T15:29,3446,1636
2020,270,39,2020-09-26T07:00,1606,589
2020,242,35,2020-08-29T14:40,1614,704
2022,214,31,2022-08-02T06:32,6581,2353
2022,290,42,2022-10-17T09:30,2514,954
2022,111,16,2022-04-21T17:25,9814,4368
2022,229,33,2022-08-17T16:47,10588,4560
2018,92,14,2018-04-02T06:29,13000,4759
2021,11,2,2021-01-11T16:52,1623,602
2021,175,25,2021-06-24T07:53,1611,599
2020,65,10,2020-03-05T06:06,6502,2469
2022,15,3,2022-01-15T10:08,9727,3431
2020,297,43,2020-10-23T07:21,1609,559
2021,312,45,2021-11-08T17:04,1620,582
2022,342,49,2022-12-08T07:36,7550,2990
2021,287,41,2021-10-14T17:00,4709,2801
2021,321,46,2021-11-17T17:17,4864,1774
2022,58,9,2022-02-27T17:22,8067,2711
2018,80,12,2018-03-21T05:14,13263,5038
2021,72,11,2021-03-13T10:42,1614,685
2022,328,47,2022-11-24T05:03,5699,2819
2018,101,15,2018-04-11T08:50,6557,2948
2020,139,20,2020-05-18T07:44,9837,3663
2022,352,51,2022-12-18T17:12,8086,3027
2021,232,34,2021-08-20T17:32,1618,770
2020,164,24,2020-06-12T06:53,10000,3672
2018,110,16,2018-04-20T06:51,1537,958
2022,240,35,2022-08-28T17:49,6323,2507
2020,268,39,2020-09-24T07:11,1608,571
2018,59,9,2018-02-28T18:13,5000,3505
2018,217,31,2018-08-05T07:58,875,1187
2022,87,13,2022-03-28T16:43,6872,3517
2022,98,14,2022-04-08T17:32,8502,3905
2022,143,21,2022-05-23T21:24,3227,1411
2023,59,9,2023-02-28T08:54,6512,2440
2018,110,16,2018-04-20T07:08,5000,1829
2020,47,7,2020-02-16T07:33,11306,4290
2017,334,48,2017-11-30T09:22,6664,2921
2021,314,45,2021-11-10T18:06,5058,2928
2020,207,30,2020-07-25T17:29,6469,2386
2021,304,44,2021-10-31T15:34,7417,3886
2022,195,28,2022-07-14T08:21,1909,1378
2018,194,28,2018-07-13T06:12,7153,2719
2020,58,9,2020-02-27T10:03,6722,2366
2018,117,17,2018-04-27T07:58,7511,2983
2021,245,35,2021-09-02T12:40,6534,2553
2022,92,14,2022-04-02T07:08,3655,1631
2021,19,3,2021-01-19T17:29,1612,579
2022,148,22,2022-05-28T12:23,9906,3528
2020,306,44,2020-11-01T07:08,6509,2188
2021,182,26,2021-07-01T17:34,5019,2388
2022,38,6,2022-02-07T17:26,5776,2178
2020,208,30,2020-07-26T17:48,6485,2519
2018,71,11,2018-03-12T19:07,9855,3767
2022,48,7,2022-02-17T20:06,3259,1611
2020,50,8,2020-02-19T07:34,1606,605
2022,249,36,2022-09-06T06:22,6479,2371
2022,66,10,2022-03-07T18:21,246,80
2018,196,28,2018-07-15T07:23,438,333
2022,170,25,2022-06-19T11:50,875,684
2022,254,37,2022-09-11T16:23,761,350
2020,40,6,2020-02-09T06:49,12921,4732
2022,197,29,2022-07-16T11:00,5365,1784
2020,63,9,2020-03-03T07:19,7182,2827
2018,340,49,2018-12-06T05:16,6797,2390
2022,34,5,2022-02-03T16:00,4753,2321
2022,106,16,2022-04-16T12:18,3353,1724
2020,310,45,2020-11-05T08:28,1615,598
2022,344,50,2022-12-10T07:06,8071,3081
2020,239,35,2020-08-26T16:38,1618,766
2020,180,26,2020-06-28T06:44,13000,4800
2020,120,18,2020-04-29T07:12,1607,633
2022,54,8,2022-02-23T08:57,8103,3708
2021,223,32,2021-08-11T19:11,2215,858
2022,343,49,2022-12-09T13:28,1874,1022
2022,209,30,2022-07-28T05:41,8085,2783
2018,148,22,2018-05-28T09:08,209,133
2020,324,47,2020-11-19T07:26,1613,625
2022,57,9,2022-02-26T17:45,8073,2814
2022,169,25,2022-06-18T07:48,2280,1651
2021,348,50,2021-12-14T15:48,7000,3956
2021,9,2,2021-01-09T16:03,1617,588
2023,44,7,2023-02-13T17:20,8216,4023
2022,251,36,2022-09-08T06:08,6469,2411
2022,16,3,2022-01-16T16:13,9106,4438
2018,115,17,2018-04-25T09:42,1032,1156
2021,206,30,2021-07-25T09:32,5731,2607
2020,128,19,2020-05-07T08:26,6528,2390
2022,324,47,2022-11-20T14:43,3355,1427
2021,297,43,2021-10-24T07:46,1613,627
2022,290,42,2022-10-17T09:30,2514,954
2018,201,29,2018-07-20T07:12,1440,690
2022,58,9,2022-02-27T17:22,8067,2711
2022,113,17,2022-04-23T16:41,9714,4883
2022,79,12,2022-03-20T07:40,11520,4208
2020,333,48,2020-11-28T07:52,1610,638
2022,241,35,2022-08-29T07:00,4755,1721
2022,356,51,2022-12-22T11:11,9662,3805
2018,74,11,2018-03-15T09:41,102,24
2022,195,28,2022-07-14T08:21,1909,1378
2022,221,32,2022-08-09T05:40,8076,2976
