Year, DayOfYear, WeekOfYear, DateTime, Weight
2023,62,9,2023-03-03T09:21:19,184.3
2023,61,9,2023-03-02T09:45:30,183.1
2023,60,9,2023-03-01T16:43:37,184.3
2023,59,9,2023-02-28T15:10:24,184
2023,59,9,2023-02-28T09:50:02,184.8
2023,56,8,2023-02-25T18:08:14,183
2023,56,8,2023-02-25T12:06:20,183.4
2023,56,8,2023-02-25T09:20:21,185.3
2023,55,8,2023-02-24T17:43:14,184.7
2023,54,8,2023-02-23T17:03:26,184.4
2023,53,8,2023-02-22T18:04:08,185.6
2023,52,8,2023-02-21T18:02:52,186.1
2023,50,8,2023-02-19T10:36:31,182.4
2023,49,7,2023-02-18T18:40:52,184.2
2023,49,7,2023-02-18T12:28:26,184.6
2023,48,7,2023-02-17T17:35:18,184
2023,47,7,2023-02-16T18:20:37,184.2
2023,45,7,2023-02-14T17:02:13,185.1
2023,44,7,2023-02-13T18:33:55,185.6
2023,43,7,2023-02-12T17:53:08,186.1
2023,42,6,2023-02-11T18:05:10,186.7
2023,41,6,2023-02-10T18:05:21,186.2
2023,39,6,2023-02-08T08:24:52,188.5
2023,38,6,2023-02-07T19:45:06,190
2023,27,4,2023-01-27T11:51:35,186.8
2023,26,4,2023-01-26T18:12:54,185.6
2023,26,4,2023-01-26T15:03:37,185.7
2023,25,4,2023-01-25T18:03:16,186.4
2023,23,4,2023-01-23T17:45:13,185.4
2023,23,4,2023-01-23T09:35:50,185.3
2023,22,4,2023-01-22T10:21:50,184
2023,21,3,2023-01-21T09:41:54,184.1
2023,20,3,2023-01-20T18:11:42,184.1
2023,19,3,2023-01-19T18:11,184.7
2023,19,3,2023-01-19T09:15:58,185.4
2023,18,3,2023-01-18T18:13:55,185.4
2023,17,3,2023-01-17T17:27:24,185.5
2023,16,3,2023-01-16T17:47:22,185.2
2023,15,3,2023-01-15T19:59:02,187.1
2023,14,2,2023-01-14T18:41:48,187.2
2023,14,2,2023-01-14T12:14:32,186.8
2023,9,2,2023-01-09T17:58:01,182.2
2023,8,2,2023-01-08T18:04:24,182.9
2023,8,2,2023-01-08T11:46:05,184.3
2023,7,1,2023-01-07T17:26:02,184
2023,7,1,2023-01-07T11:11:41,185.4
2023,6,1,2023-01-06T08:36:34,186.1
2023,5,1,2023-01-05T07:08:53,185.7
2023,4,1,2023-01-04T09:09:43,186.7
2023,3,1,2023-01-03T13:27:34,186
2023,3,1,2023-01-03T09:28:47,187.9
2023,1,1,2023-01-01T09:49:30,190.8
2022,359,52,2022-12-25T10:19:37,186.2
2022,358,52,2022-12-24T17:53:01,185.3
2022,357,51,2022-12-23T16:32:44,183.9
2022,356,51,2022-12-22T12:30:47,184.3
2022,355,51,2022-12-21T18:07:27,187
2022,353,51,2022-12-19T17:59:36,185.2
2022,353,51,2022-12-19T13:39:45,187.3
2022,352,51,2022-12-18T18:23:30,187.4
2022,351,51,2022-12-17T17:36:39,186.6
2022,350,50,2022-12-16T14:35:01,186.6
2022,349,50,2022-12-15T19:31:13,186.5
2022,348,50,2022-12-14T18:14:20,186
2022,347,50,2022-12-13T18:54:39,184.8
2022,346,50,2022-12-12T14:37:49,185.9
2022,345,50,2022-12-11T12:48:04,187.7
2022,345,50,2022-12-11T11:29:20,187.7
2022,344,50,2022-12-10T08:18:42,186.9
2022,343,49,2022-12-09T13:48:38,187
2022,342,49,2022-12-08T12:39:32,186.2
2022,342,49,2022-12-08T08:53:18,188.1
2022,341,49,2022-12-07T09:13:31,187.4
2022,340,49,2022-12-06T07:00:05,187.9
2022,339,49,2022-12-05T11:14:30,187.4
2022,338,49,2022-12-04T09:53:34,187.1
2022,337,49,2022-12-03T15:59:15,187.9
2022,336,48,2022-12-02T10:07:24,186.4
2022,335,48,2022-12-01T10:20:40,186.7
2022,334,48,2022-11-30T17:56:10,188.9
2022,333,48,2022-11-29T07:14:21,191.2
2022,320,46,2022-11-16T08:52:46,182.8
2022,319,46,2022-11-15T10:22:05,182.3
2022,318,46,2022-11-14T08:38:20,182.9
2022,317,46,2022-11-13T11:20:30,182.1
2022,317,46,2022-11-13T09:07:15,182.2
2022,316,46,2022-11-12T08:46:07,183.8
2022,315,45,2022-11-11T17:52:45,184.9
2022,314,45,2022-11-10T16:20:23,184.8
2022,312,45,2022-11-08T15:36:42,182.8
2022,312,45,2022-11-08T07:58:22,183.9
2022,311,45,2022-11-07T07:51:26,182.8
2022,310,45,2022-11-06T18:01:38,182.1
2022,310,45,2022-11-06T15:21:11,182.8
2022,309,45,2022-11-05T17:17:36,182.8
2022,309,45,2022-11-05T11:33:22,183.1
2022,308,44,2022-11-04T09:31:51,183.3
2022,307,44,2022-11-03T08:56:11,183.8
2022,305,44,2022-11-01T08:51:08,183.9
2022,304,44,2022-10-31T08:46:01,182.9
2022,303,44,2022-10-30T19:39:04,183.4
2022,303,44,2022-10-30T08:50:48,183.5
2022,303,44,2022-10-30T08:48:17,183.6
2022,302,44,2022-10-29T16:41:45,183.5
2022,301,43,2022-10-28T18:28:51,184.1
2022,300,43,2022-10-27T17:34:40,184.5
2022,300,43,2022-10-27T09:36:24,185.5
2022,299,43,2022-10-26T08:56:41,186.7
2022,298,43,2022-10-25T07:21:06,186.6
2022,297,43,2022-10-24T11:26:24,184.7
2022,296,43,2022-10-23T09:05:26,185
2022,295,43,2022-10-22T11:25:10,185.1
2022,295,43,2022-10-22T08:14:53,185.8
2022,294,42,2022-10-21T18:13:38,186.6
2022,293,42,2022-10-20T09:58:11,186.8
2022,292,42,2022-10-19T18:16:31,187.1
2022,291,42,2022-10-18T17:58:57,188
2022,287,41,2022-10-14T10:17:52,184.9
2022,286,41,2022-10-13T08:18:21,185.4
2022,282,41,2022-10-09T09:05:17,185.9
2022,280,40,2022-10-07T09:45:19,183.9
2022,279,40,2022-10-06T09:24:27,184.7
2022,278,40,2022-10-05T09:27:10,185.2
2022,277,40,2022-10-04T09:25:02,185
2022,276,40,2022-10-03T09:14:28,185.2
2022,275,40,2022-10-02T08:53:05,186.3
2022,274,40,2022-10-01T10:51:08,187.2
2022,270,39,2022-09-27T19:48:02,189.1
2022,267,39,2022-09-24T10:54:57,184.3
2022,267,39,2022-09-24T07:49:11,185.1
2022,266,38,2022-09-23T15:22:44,187.8
2022,265,38,2022-09-22T11:30:26,187.2
2022,265,38,2022-09-22T07:19:02,188.6
2022,263,38,2022-09-20T07:28:38,190.4
2022,262,38,2022-09-19T18:46:07,193.1
2022,259,37,2022-09-16T09:51:32,186.2
2022,258,37,2022-09-15T07:54:08,188.4
2022,257,37,2022-09-14T08:40:19,186.4
2022,256,37,2022-09-13T07:10:01,186.7
2022,255,37,2022-09-12T07:51:43,187.2
2022,254,37,2022-09-11T16:37:55,188.6
2022,253,37,2022-09-10T10:59:13,187.5
2022,252,36,2022-09-09T09:24:29,188.9
2022,250,36,2022-09-07T07:31:03,187.5
2022,249,36,2022-09-06T07:37:34,185.6
2022,248,36,2022-09-05T12:17,185.5
2022,246,36,2022-09-03T11:47:34,184.4
2022,246,36,2022-09-03T07:52:21,186.7
2022,245,35,2022-09-02T07:38:56,187.2
2022,244,35,2022-09-01T10:05:21,186.7
2022,243,35,2022-08-31T08:31:15,187.5
2022,242,35,2022-08-30T08:17:19,188.6
2022,241,35,2022-08-29T07:47:56,189.3
2022,240,35,2022-08-28T18:37:03,190.6
2022,232,34,2022-08-20T11:14:02,182
2022,231,33,2022-08-19T10:29:40,184.7
2022,230,33,2022-08-18T16:34:21,184.9
2022,229,33,2022-08-17T18:18:42,186.2
2022,228,33,2022-08-16T17:31:19,186.6
2022,227,33,2022-08-15T18:25:23,186
2022,225,33,2022-08-13T15:04:21,183.9
2022,223,32,2022-08-11T07:27:06,184.6
2022,222,32,2022-08-10T08:08:41,185.9
2022,218,32,2022-08-06T11:29:13,182.8
2022,218,32,2022-08-06T07:55:02,181.9
